時間,成交價,成交張數
13:30:00,170.0,4344
13:25:00,170.0,20
13:24:55,170.5,68
13:24:50,170.5,19
13:24:45,170.0,38
13:24:40,170.0,48
13:24:35,170.0,19
13:24:30,170.0,29
13:24:25,170.0,44
13:24:20,170.0,18
13:24:15,170.0,40
13:24:10,170.0,122
13:24:05,170.5,31
13:24:00,170.0,45
13:23:55,170.0,43
13:23:50,170.5,16
13:23:45,170.0,26
13:23:40,170.0,20
13:23:35,170.0,46
13:23:30,170.0,70
13:23:25,170.0,62
13:23:20,170.0,33
13:23:15,170.0,38
13:23:10,170.5,46
13:23:05,170.0,26
13:23:00,170.5,39
13:22:55,170.5,25
13:22:50,170.0,16
13:22:45,170.5,15
13:22:40,170.0,21
13:22:35,170.0,8
13:22:30,170.0,30
13:22:25,170.0,33
13:22:20,170.0,17
13:22:15,170.0,16
13:22:10,170.0,14
13:22:05,170.5,11
13:22:00,170.0,10
13:21:55,170.0,14
13:21:50,170.5,19
13:21:45,170.0,15
13:21:40,170.0,18
13:21:35,170.5,26
13:21:30,170.0,20
13:21:25,170.5,28
13:21:20,170.0,24
13:21:15,170.0,9
13:21:10,170.5,9
13:21:05,170.0,13
13:21:00,170.0,18
13:20:55,170.0,10
13:20:50,170.5,36
13:20:45,170.0,22
13:20:40,170.0,35
13:20:35,170.0,31
13:20:30,170.0,27
13:20:25,170.0,39
13:20:20,170.0,7
13:20:15,170.0,14
13:20:10,170.5,15
13:20:05,170.0,7
13:20:00,170.0,28
13:19:55,170.0,16
13:19:50,170.0,41
13:19:45,170.0,375
13:19:40,170.0,144
13:19:35,170.5,7
13:19:30,170.5,26
13:19:25,170.0,9
13:19:20,170.0,5
13:19:15,170.0,11
13:19:10,170.5,8
13:19:05,170.0,17
13:19:00,170.5,28
13:18:55,170.5,15
13:18:50,170.0,29
13:18:45,170.5,64
13:18:40,170.5,12
13:18:35,170.0,7
13:18:30,170.0,5
13:18:25,170.0,22
13:18:20,170.0,4
13:18:15,170.5,6
13:18:10,170.5,10
13:18:05,170.5,3
13:18:00,170.5,25
13:17:55,170.0,2
13:17:50,170.5,14
13:17:45,170.5,13
13:17:40,170.5,3
13:17:35,170.5,3
13:17:30,170.0,11
13:17:25,170.0,22
13:17:20,170.5,12
13:17:10,170.5,2
13:17:05,170.0,13
13:17:00,170.0,71
13:16:55,170.5,14
13:16:50,170.0,6
13:16:45,170.5,16
13:16:40,170.5,7
13:16:35,170.5,5
13:16:30,170.0,6
13:16:25,170.0,2
13:16:20,170.5,6
13:16:15,170.0,45
13:16:10,170.0,30
13:16:05,170.0,10
13:16:00,170.0,11
13:15:55,170.5,3
13:15:50,170.5,3
13:15:45,170.0,10
13:15:40,170.5,7
13:15:35,170.5,19
13:15:30,170.0,8
13:15:25,170.5,9
13:15:20,170.5,35
13:15:15,170.0,17
13:15:10,170.0,22
13:15:05,170.5,1
13:15:00,170.0,21
13:14:50,170.5,6
13:14:45,170.0,3
13:14:40,170.5,4
13:14:35,170.5,14
13:14:30,170.0,11
13:14:25,170.5,5
13:14:20,170.0,18
13:14:15,170.5,7
13:14:10,170.0,15
13:14:05,170.0,2
13:14:00,170.0,8
13:13:50,170.5,13
13:13:45,170.0,15
13:13:40,170.0,20
13:13:35,170.5,2
13:13:30,170.0,6
13:13:25,170.0,4
13:13:20,170.0,5
13:13:15,170.5,1
13:13:10,170.0,4
13:13:05,170.5,16
13:13:00,170.0,15
13:12:55,170.5,6
13:12:45,170.5,15
13:12:40,170.5,8
13:12:35,170.0,6
13:12:30,170.0,11
13:12:25,170.0,16
13:12:20,170.0,11
13:12:15,170.0,5
13:12:10,170.0,10
13:12:05,170.0,3
13:12:00,170.0,5
13:11:55,170.0,16
13:11:50,170.0,2
13:11:45,170.0,14
13:11:35,170.0,3
13:11:30,170.0,4
13:11:25,170.5,2
13:11:20,170.0,9
13:11:10,170.0,23
13:11:05,170.0,12
13:11:00,170.0,4
13:10:55,170.0,22
13:10:50,170.0,57
13:10:45,170.0,2
13:10:40,170.5,15
13:10:35,170.5,2
13:10:30,170.0,4
13:10:25,170.5,1
13:10:20,170.5,2
13:10:15,170.0,11
13:10:10,170.0,16
13:10:05,170.5,3
13:10:00,170.0,6
13:09:55,170.5,1
13:09:45,170.5,13
13:09:40,170.0,10
13:09:30,170.0,6
13:09:25,170.0,10
13:09:20,170.0,9
13:09:15,170.5,13
13:09:10,170.0,10
13:09:05,170.0,1
13:09:00,170.0,3
13:08:55,170.0,4
13:08:50,170.0,13
13:08:45,170.0,10
13:08:40,170.0,4
13:08:35,170.0,13
13:08:30,170.0,2
13:08:25,170.5,10
13:08:20,170.0,9
13:08:15,170.5,3
13:08:10,170.0,2
13:08:05,170.0,1
13:08:00,170.0,25
13:07:50,170.0,4
13:07:45,170.0,5
13:07:35,170.0,11
13:07:30,170.0,8
13:07:25,170.0,2
13:07:20,170.0,23
13:07:15,170.0,12
13:07:10,170.5,12
13:07:05,170.0,7
13:07:00,170.0,8
13:06:55,170.0,6
13:06:45,170.0,4
13:06:40,170.0,13
13:06:35,170.0,1
13:06:30,170.0,7
13:06:25,170.0,35
13:06:20,170.0,55
13:06:15,170.5,14
13:06:10,170.5,14
13:06:00,170.0,11
13:05:50,170.5,18
13:05:45,170.0,3
13:05:40,170.0,28
13:05:35,170.0,6
13:05:30,170.0,2
13:05:25,170.5,8
13:05:20,170.0,3
13:05:15,170.0,6
13:05:10,170.0,1
13:05:05,170.0,13
13:05:00,170.0,2
13:04:55,170.0,1
13:04:50,170.0,2
13:04:40,170.0,89
13:04:35,170.0,13
13:04:30,170.0,3
13:04:25,170.5,1
13:04:20,170.0,11
13:04:15,170.5,8
13:04:10,170.5,6
13:04:05,170.0,1
13:04:00,170.5,8
13:03:55,170.5,10
13:03:45,170.5,1
13:03:40,170.0,1
13:03:35,170.0,16
13:03:30,170.5,9
13:03:25,170.0,20
13:03:20,170.0,3
13:03:15,170.5,1
13:03:10,170.5,13
13:03:05,170.0,14
13:03:00,170.0,13
13:02:55,170.0,2
13:02:50,170.0,3
13:02:45,170.0,14
13:02:40,169.5,8
13:02:35,170.0,14
13:02:30,170.0,20
13:02:25,170.0,19
13:02:20,169.5,16
13:02:15,170.0,21
13:02:10,170.0,13
13:02:05,170.0,6
13:02:00,170.0,19
13:01:55,170.0,8
13:01:50,170.0,41
13:01:45,170.0,23
13:01:40,170.0,8
13:01:35,170.0,30
13:01:30,170.0,31
13:01:25,170.0,54
13:01:20,170.0,23
13:01:15,170.0,6
13:01:10,170.0,28
13:01:05,170.5,22
13:01:00,170.0,22
13:00:55,170.0,26
13:00:50,170.0,6
13:00:45,170.0,11
13:00:40,170.0,16
13:00:35,170.0,7
13:00:30,169.5,1408
13:00:25,169.5,2
13:00:20,169.5,7
13:00:15,169.5,2
