時間,成交價,成交張數
2024-05-19 13:30:00,516.0,993.0
2024-05-19 13:24:55,512.0,2.0
2024-05-19 13:24:50,512.0,1.0
2024-05-19 13:24:30,513.0,1.0
2024-05-19 13:24:25,513.0,3.0
2024-05-19 13:24:20,512.0,1.0
2024-05-19 13:24:15,512.0,10.0
2024-05-19 13:24:10,512.0,1.0
2024-05-19 13:24:00,513.0,3.0
2024-05-19 13:23:55,513.0,16.0
2024-05-19 13:23:50,511.0,6.0
2024-05-19 13:23:45,512.0,4.0
2024-05-19 13:23:40,513.0,2.0
2024-05-19 13:23:35,512.0,2.0
2024-05-19 13:23:30,512.0,3.0
2024-05-19 13:23:25,513.0,3.0
2024-05-19 13:23:20,512.0,3.0
2024-05-19 13:23:15,512.0,2.0
2024-05-19 13:23:10,512.0,10.0
2024-05-19 13:23:05,513.0,1.0
2024-05-19 13:23:00,512.0,2.0
2024-05-19 13:22:55,513.0,1.0
2024-05-19 13:22:50,513.0,1.0
2024-05-19 13:22:45,512.0,2.0
2024-05-19 13:22:40,513.0,1.0
2024-05-19 13:22:35,513.0,2.0
2024-05-19 13:22:30,513.0,1.0
2024-05-19 13:22:20,513.0,1.0
2024-05-19 13:22:15,512.0,2.0
2024-05-19 13:22:05,512.0,3.0
2024-05-19 13:22:00,512.0,2.0
2024-05-19 13:21:50,513.0,3.0
2024-05-19 13:21:45,513.0,2.0
2024-05-19 13:21:35,512.0,3.0
2024-05-19 13:21:30,513.0,1.0
2024-05-19 13:21:25,513.0,1.0
2024-05-19 13:21:15,513.0,4.0
2024-05-19 13:21:10,512.0,3.0
2024-05-19 13:21:00,513.0,1.0
2024-05-19 13:20:55,513.0,1.0
2024-05-19 13:20:45,513.0,13.0
2024-05-19 13:20:40,514.0,1.0
2024-05-19 13:20:30,514.0,1.0
2024-05-19 13:20:25,514.0,2.0
2024-05-19 13:20:20,514.0,1.0
2024-05-19 13:20:10,514.0,1.0
2024-05-19 13:20:05,514.0,1.0
2024-05-19 13:19:55,514.0,2.0
2024-05-19 13:19:50,514.0,8.0
2024-05-19 13:19:40,513.0,2.0
2024-05-19 13:19:35,514.0,2.0
2024-05-19 13:19:30,514.0,1.0
2024-05-19 13:19:25,514.0,2.0
2024-05-19 13:19:20,514.0,1.0
2024-05-19 13:19:10,514.0,1.0
2024-05-19 13:19:05,514.0,2.0
2024-05-19 13:19:00,514.0,1.0
2024-05-19 13:18:50,514.0,1.0
2024-05-19 13:18:45,514.0,1.0
2024-05-19 13:18:35,514.0,1.0
2024-05-19 13:18:30,513.0,2.0
2024-05-19 13:18:20,514.0,2.0
2024-05-19 13:18:15,514.0,1.0
2024-05-19 13:18:10,514.0,1.0
2024-05-19 13:18:05,513.0,15.0
2024-05-19 13:18:00,513.0,1.0
2024-05-19 13:17:55,513.0,2.0
2024-05-19 13:17:50,514.0,2.0
2024-05-19 13:17:45,513.0,1.0
2024-05-19 13:17:40,513.0,10.0
2024-05-19 13:17:35,513.0,16.0
2024-05-19 13:17:30,513.0,1.0
2024-05-19 13:17:25,513.0,3.0
2024-05-19 13:17:20,513.0,7.0
2024-05-19 13:17:15,513.0,15.0
2024-05-19 13:17:10,513.0,1.0
2024-05-19 13:17:05,512.0,2.0
2024-05-19 13:17:00,513.0,1.0
2024-05-19 13:16:55,513.0,1.0
2024-05-19 13:16:50,513.0,16.0
2024-05-19 13:16:45,512.0,1.0
2024-05-19 13:16:40,513.0,1.0
2024-05-19 13:16:35,513.0,1.0
2024-05-19 13:16:30,512.0,1.0
2024-05-19 13:16:25,513.0,1.0
2024-05-19 13:16:20,513.0,2.0
2024-05-19 13:16:10,513.0,1.0
2024-05-19 13:16:05,513.0,7.0
2024-05-19 13:15:55,513.0,1.0
2024-05-19 13:15:50,513.0,1.0
2024-05-19 13:15:45,513.0,2.0
2024-05-19 13:15:40,513.0,2.0
2024-05-19 13:15:35,513.0,1.0
2024-05-19 13:15:30,513.0,1.0
2024-05-19 13:15:20,513.0,1.0
2024-05-19 13:15:15,512.0,2.0
2024-05-19 13:15:10,512.0,5.0
2024-05-19 13:15:05,513.0,1.0
