時間,成交價,成交張數
13:30:00,"1,165",660
13:24:55,"1,170",1
13:24:45,"1,170",1
13:24:35,"1,170",4
13:24:30,"1,170",8
13:24:25,"1,170",1
13:24:20,"1,170",1
13:24:10,"1,170",2
13:24:05,"1,170",4
13:24:00,"1,175",10
13:23:55,"1,175",3
13:23:50,"1,170",1
13:23:45,"1,170",4
13:23:40,"1,170",2
13:23:35,"1,170",3
13:23:30,"1,170",10
13:23:25,"1,175",4
13:23:20,"1,170",3
13:23:15,"1,170",6
13:23:05,"1,175",4
13:23:00,"1,170",11
13:22:55,"1,170",3
13:22:50,"1,175",3
13:22:45,"1,170",3
13:22:40,"1,170",3
13:22:35,"1,170",2
13:22:30,"1,175",3
13:22:25,"1,175",1
13:22:20,"1,175",1
13:22:15,"1,175",10
13:22:10,"1,175",1
13:22:05,"1,175",2
13:21:55,"1,175",1
13:21:50,"1,170",5
13:21:40,"1,175",1
13:21:35,"1,175",2
13:21:30,"1,170",2
13:21:15,"1,175",2
13:21:10,"1,170",2
13:21:05,"1,175",1
13:21:00,"1,170",1
13:20:50,"1,175",2
13:20:40,"1,175",2
13:20:35,"1,175",3
13:20:30,"1,170",1
13:20:25,"1,170",1
13:20:20,"1,170",4
13:20:15,"1,175",2
13:20:10,"1,170",1
13:20:00,"1,170",1
13:19:55,"1,175",1
13:19:50,"1,175",2
13:19:45,"1,175",1
13:19:40,"1,170",1
13:19:35,"1,175",3
13:19:25,"1,170",1
13:19:20,"1,170",2
13:19:15,"1,175",4
13:19:10,"1,170",1
13:19:05,"1,170",2
13:19:00,"1,170",2
13:18:55,"1,175",1
13:18:50,"1,170",2
13:18:45,"1,175",2
13:18:40,"1,175",1
13:18:20,"1,175",3
13:18:10,"1,170",1
13:18:05,"1,170",4
13:18:00,"1,170",6
13:17:50,"1,175",57
13:17:40,"1,180",1
13:17:30,"1,180",1
13:17:25,"1,180",1
13:17:20,"1,180",3
13:17:15,"1,175",1
13:17:10,"1,180",1
13:17:05,"1,180",1
13:17:00,"1,175",1
13:16:55,"1,180",3
13:16:45,"1,180",1
13:16:40,"1,175",7
13:16:35,"1,175",2
13:16:25,"1,180",3
13:16:10,"1,180",1
13:16:00,"1,180",2
13:15:50,"1,175",15
13:15:45,"1,180",1
13:15:30,"1,180",4
13:15:15,"1,180",1
13:15:10,"1,175",2
13:15:05,"1,175",4
13:14:50,"1,180",2
13:14:40,"1,175",1
13:14:35,"1,180",3
13:14:30,"1,180",3
13:14:25,"1,175",1
13:14:15,"1,175",3
13:14:10,"1,180",3
13:13:55,"1,175",2
13:13:50,"1,175",2
13:13:45,"1,180",2
13:13:40,"1,180",2
13:13:35,"1,180",1
13:13:15,"1,180",1
13:13:10,"1,175",3
13:13:05,"1,180",70
13:13:00,"1,170",4
13:12:55,"1,175",15
13:12:50,"1,170",10
13:12:45,"1,175",9
13:12:40,"1,175",14
13:12:35,"1,175",7
13:12:30,"1,175",5
13:12:20,"1,170",2
13:12:15,"1,175",3
13:12:05,"1,170",2
13:12:00,"1,175",2
13:11:50,"1,175",6
13:11:45,"1,175",10
13:11:40,"1,175",1
13:11:25,"1,170",2
13:11:20,"1,175",4
13:11:05,"1,175",1
13:11:00,"1,170",1
13:10:55,"1,175",4
13:10:50,"1,170",3
13:10:45,"1,170",2
13:10:40,"1,170",4
13:10:30,"1,170",1
13:10:25,"1,175",4
13:10:20,"1,175",1
13:10:15,"1,175",1
13:10:05,"1,175",1
13:09:55,"1,175",4
13:09:45,"1,175",2
13:09:25,"1,175",3
13:09:20,"1,170",1
13:09:10,"1,175",3
13:09:00,"1,170",3
13:08:50,"1,175",1
13:08:45,"1,170",1
13:08:35,"1,175",1
13:08:30,"1,175",4
13:08:25,"1,170",2
13:08:10,"1,175",3
13:08:05,"1,175",2
13:07:55,"1,175",1
13:07:50,"1,170",1
13:07:40,"1,170",2
13:07:35,"1,175",4
13:07:20,"1,175",1
13:07:15,"1,170",2
13:07:10,"1,175",2
13:07:05,"1,170",2
13:07:00,"1,170",1
13:06:55,"1,175",2
13:06:40,"1,175",2
13:06:35,"1,175",247
13:06:30,"1,170",6
13:06:25,"1,170",1
13:06:20,"1,170",3
13:06:10,"1,170",5
13:06:05,"1,170",1
13:06:00,"1,170",2
13:05:50,"1,170",2
13:05:45,"1,170",4
13:05:40,"1,170",1
13:05:25,"1,170",3
13:05:20,"1,165",2
13:05:15,"1,170",3
13:05:10,"1,170",1
13:05:05,"1,170",1
13:04:50,"1,170",3
13:04:40,"1,170",3
13:04:35,"1,170",2
13:04:25,"1,170",1
13:04:20,"1,170",2
13:04:10,"1,170",3
13:04:05,"1,170",2
13:03:55,"1,170",3
13:03:50,"1,170",9
13:03:45,"1,170",2
13:03:35,"1,165",1
13:03:30,"1,170",2
13:03:25,"1,170",3
13:03:20,"1,170",4
13:03:15,"1,165",3
13:03:10,"1,165",3
13:03:05,"1,170",2
13:03:00,"1,165",2
13:02:55,"1,170",3
13:02:50,"1,165",2
13:02:35,"1,165",1
13:02:30,"1,170",1
13:02:25,"1,165",4
13:02:15,"1,165",2
13:02:10,"1,170",1
13:02:00,"1,170",4
13:01:50,"1,170",3
13:01:45,"1,170",1
13:01:40,"1,165",2
13:01:30,"1,170",4
13:01:25,"1,170",4
13:01:15,"1,170",1
13:01:05,"1,165",3
13:01:00,"1,170",1
13:00:55,"1,165",3
13:00:50,"1,165",1
13:00:45,"1,165",1
13:00:40,"1,170",11
13:00:35,"1,170",2
13:00:25,"1,165",1
13:00:20,"1,165",2
13:00:15,"1,170",4
13:00:10,"1,165",2
13:00:05,"1,165",2
13:00:00,"1,170",4
12:59:55,"1,170",2
12:59:50,"1,165",1
12:59:40,"1,170",41
12:59:35,"1,165",3
12:59:30,"1,165",4
12:59:20,"1,165",2
12:59:00,"1,170",1
12:58:45,"1,165",3
12:58:40,"1,170",1
12:58:30,"1,165",1
12:58:20,"1,170",2
12:58:15,"1,170",1
12:58:10,"1,165",1
12:58:05,"1,170",1
12:58:00,"1,165",2
12:57:50,"1,165",1
12:57:40,"1,165",1
12:57:15,"1,165",2
12:57:05,"1,165",1
12:56:55,"1,165",2
12:56:50,"1,170",2
12:56:35,"1,170",1
12:56:30,"1,165",2
12:56:25,"1,165",2
12:56:05,"1,165",2
12:55:50,"1,165",1
12:55:45,"1,165",2
12:55:30,"1,165",1
12:55:15,"1,165",2
12:55:00,"1,165",1
12:54:55,"1,165",29
12:54:45,"1,165",30
12:54:40,"1,165",1
12:54:35,"1,170",1
12:54:30,"1,165",1
12:54:00,"1,165",1
12:53:55,"1,170",3
12:53:50,"1,165",1
12:53:35,"1,165",1
12:53:10,"1,170",1
12:53:05,"1,165",1
12:53:00,"1,170",9
12:52:40,"1,170",4
12:52:20,"1,165",2
12:52:10,"1,165",1
12:51:40,"1,165",1
12:51:25,"1,170",1
12:51:20,"1,170",2
12:51:10,"1,170",3
12:50:50,"1,170",1
12:50:35,"1,165",1
12:50:30,"1,170",2
12:50:25,"1,165",1
12:50:10,"1,165",1
12:49:45,"1,165",2
12:49:10,"1,170",3
12:49:00,"1,170",1
12:48:50,"1,170",12
12:48:40,"1,170",2
12:48:35,"1,170",1
12:48:25,"1,170",2
12:48:20,"1,170",40
12:48:00,"1,170",1
12:47:55,"1,165",1
12:47:50,"1,165",1
12:47:05,"1,170",1
12:46:45,"1,165",1
12:46:35,"1,170",1
12:46:20,"1,170",1
12:46:00,"1,170",3
12:45:45,"1,165",2
12:45:40,"1,170",1
12:45:25,"1,170",1
12:45:15,"1,170",1
12:45:00,"1,170",1
12:44:35,"1,170",1
12:44:30,"1,170",3
12:44:25,"1,165",1
12:43:55,"1,170",1
12:43:40,"1,165",1
12:43:25,"1,170",2
12:43:15,"1,170",2
12:43:05,"1,170",1
12:42:55,"1,170",3
12:42:50,"1,165",1
12:42:30,"1,170",1
12:42:15,"1,170",4
12:42:00,"1,170",1
12:41:55,"1,170",2
12:41:50,"1,170",2
12:41:35,"1,170",1
12:41:30,"1,170",1
12:41:10,"1,170",2
12:41:05,"1,165",1
12:40:55,"1,165",1
12:40:45,"1,170",5
12:40:35,"1,170",1
12:40:30,"1,165",4
12:40:00,"1,165",1
12:39:40,"1,170",1
12:39:30,"1,170",2
12:39:15,"1,170",1
12:39:10,"1,170",1
12:39:00,"1,170",3
12:38:55,"1,165",2
12:38:45,"1,165",2
12:38:20,"1,170",4
12:38:00,"1,170",2
12:37:55,"1,170",2
12:37:50,"1,165",2
12:37:45,"1,170",3
12:37:40,"1,165",1
12:37:00,"1,165",2
12:36:40,"1,170",2
12:36:30,"1,170",1
12:36:15,"1,170",1
12:36:10,"1,165",1
12:36:05,"1,170",1
12:36:00,"1,170",2
12:35:55,"1,170",2
12:35:45,"1,170",2
12:35:25,"1,170",1
12:35:20,"1,165",3
12:35:15,"1,170",1
12:35:10,"1,165",2
12:35:00,"1,170",2
12:34:20,"1,170",1
12:34:05,"1,170",2
12:34:00,"1,165",1
12:33:15,"1,170",4
12:33:00,"1,165",3
12:32:35,"1,170",1
12:32:15,"1,170",1
12:31:55,"1,170",5
12:30:55,"1,170",1
12:30:40,"1,165",1
12:30:25,"1,170",1
12:30:10,"1,170",1
12:30:05,"1,170",2
12:29:50,"1,165",1
12:29:35,"1,165",3
12:29:25,"1,170",5
12:29:10,"1,170",1
12:29:05,"1,170",1
12:29:00,"1,170",2
12:28:55,"1,170",1
12:28:50,"1,170",1
12:28:35,"1,170",2
12:28:30,"1,170",1
12:28:25,"1,170",3
12:28:00,"1,170",3
12:27:40,"1,165",1
12:27:35,"1,170",1
12:27:30,"1,170",1
12:27:15,"1,170",9
12:27:10,"1,170",4
12:26:55,"1,165",1
12:26:40,"1,170",1
12:26:30,"1,165",1
12:25:45,"1,170",3
12:25:35,"1,170",1
12:25:10,"1,170",1
12:25:00,"1,170",4
12:24:55,"1,170",1
12:24:50,"1,170",1
12:24:20,"1,170",1
12:24:00,"1,170",1
12:23:40,"1,170",8
12:23:35,"1,170",6
12:23:20,"1,170",3
12:23:05,"1,165",1
12:22:55,"1,170",6
12:22:25,"1,170",2
12:22:20,"1,170",1
12:22:10,"1,170",1
12:21:35,"1,165",2
12:21:15,"1,170",1
12:21:10,"1,170",1
12:21:05,"1,170",1
12:20:35,"1,170",1
12:20:10,"1,170",1
12:20:00,"1,170",2
12:19:45,"1,165",2
12:19:40,"1,165",1
12:19:15,"1,170",1
12:19:05,"1,170",1
12:19:00,"1,170",3
12:18:55,"1,170",1
12:18:45,"1,170",9
12:18:35,"1,170",1
12:18:10,"1,170",3
12:18:05,"1,165",2
12:18:00,"1,170",1
12:17:20,"1,170",2
12:17:10,"1,170",1
12:17:05,"1,170",1
12:16:30,"1,170",3
12:16:25,"1,165",2
12:16:20,"1,165",1
12:16:10,"1,170",3
12:15:50,"1,170",1
12:15:45,"1,170",6
12:15:35,"1,170",1
12:15:30,"1,170",3
12:15:00,"1,165",1
12:14:40,"1,170",3
12:14:15,"1,170",2
12:13:45,"1,170",2
12:13:05,"1,170",1
12:13:00,"1,165",3
12:12:55,"1,165",1
12:12:40,"1,170",2
12:12:30,"1,170",2
12:12:15,"1,170",1
12:12:05,"1,170",1
12:12:00,"1,170",4
12:11:45,"1,170",2
12:11:10,"1,165",2
12:10:20,"1,170",1
12:10:05,"1,170",2
12:09:55,"1,170",1
12:09:35,"1,165",1
12:08:55,"1,170",1
12:08:45,"1,170",1
12:08:40,"1,170",1
12:08:35,"1,170",1
12:07:45,"1,165",3
12:07:35,"1,170",2
12:07:30,"1,165",1
12:06:55,"1,170",1
12:06:15,"1,170",1
12:06:10,"1,170",2
12:05:45,"1,170",1
12:05:10,"1,170",1
12:04:25,"1,165",2
12:04:20,"1,170",2
12:04:15,"1,165",2
12:03:25,"1,170",1
12:03:05,"1,170",1
12:03:00,"1,165",1
12:02:45,"1,165",1
12:02:25,"1,165",1
12:01:50,"1,165",1
12:01:45,"1,170",2
12:00:50,"1,165",2
12:00:25,"1,170",1
12:00:20,"1,170",2
12:00:00,"1,170",2
11:59:35,"1,170",1
11:59:25,"1,165",1
11:58:35,"1,170",3
11:58:20,"1,165",1
11:58:15,"1,170",4
11:58:10,"1,170",1
11:57:50,"1,170",1
11:57:45,"1,170",1
11:57:40,"1,170",1
11:57:35,"1,170",13
11:57:30,"1,170",1
11:57:25,"1,165",2
11:56:50,"1,170",2
11:56:40,"1,170",1
11:56:10,"1,170",3
11:56:05,"1,170",1
11:56:00,"1,165",2
11:55:55,"1,165",1
11:55:45,"1,165",1
11:55:40,"1,170",11
11:55:30,"1,170",1
11:55:25,"1,170",4
11:54:50,"1,170",1
11:54:45,"1,170",2
11:54:20,"1,170",2
11:54:15,"1,170",1
11:54:00,"1,170",1
11:53:55,"1,165",2
11:53:50,"1,170",1
11:53:25,"1,165",1
11:53:10,"1,170",1
11:53:00,"1,165",1
11:52:40,"1,170",2
11:52:35,"1,165",1
11:52:15,"1,170",1
11:52:10,"1,170",1
11:51:45,"1,170",3
11:51:25,"1,165",1
11:51:05,"1,170",4
11:50:55,"1,165",1
11:50:40,"1,165",14
11:50:30,"1,165",2
11:50:15,"1,170",1
11:50:05,"1,170",1
11:50:00,"1,170",1
11:49:45,"1,170",13
11:49:40,"1,170",1
11:49:35,"1,170",3
11:49:15,"1,170",1
11:48:55,"1,170",12
11:48:50,"1,170",1
11:48:40,"1,170",2
11:48:25,"1,175",1
11:48:05,"1,170",1
11:47:30,"1,170",2
11:47:15,"1,170",1
11:47:10,"1,170",1
11:47:05,"1,170",2
11:46:25,"1,170",1
11:46:10,"1,170",1
11:45:55,"1,170",1
11:45:50,"1,170",12
11:45:45,"1,170",8
11:45:40,"1,170",2
11:45:20,"1,170",5
11:45:15,"1,170",2
11:45:00,"1,170",2
11:44:55,"1,170",1
11:44:45,"1,170",1
11:44:40,"1,170",1
11:44:30,"1,175",1
11:44:10,"1,170",3
11:44:05,"1,170",1
11:43:35,"1,170",2
11:42:45,"1,170",2
11:42:30,"1,170",1
11:42:15,"1,170",1
11:41:50,"1,170",1
11:41:35,"1,170",1
11:41:25,"1,170",2
11:41:15,"1,170",1
11:41:00,"1,170",2
11:40:55,"1,170",2
11:40:35,"1,175",1
11:40:10,"1,170",2
11:39:05,"1,170",1
11:38:45,"1,170",2
11:37:45,"1,170",2
11:37:00,"1,170",1
11:36:45,"1,170",4
11:36:40,"1,170",3
11:36:35,"1,170",26
11:35:55,"1,170",1
11:35:50,"1,170",5
11:35:40,"1,170",7
11:35:25,"1,170",2
11:34:45,"1,175",1
11:34:40,"1,170",1
11:34:15,"1,175",2
11:34:10,"1,170",1
11:33:40,"1,170",1
11:33:15,"1,170",3
11:33:10,"1,170",1
11:32:55,"1,170",2
11:32:50,"1,175",1
11:32:45,"1,170",10
11:32:35,"1,170",4
11:32:25,"1,170",44
11:32:20,"1,170",82
11:32:15,"1,170",1
11:31:45,"1,170",2
11:31:25,"1,170",2
11:31:20,"1,170",3
11:30:50,"1,175",2
11:30:20,"1,170",2
11:30:10,"1,175",1
11:29:45,"1,170",2
11:29:35,"1,175",1
11:29:05,"1,175",2
11:29:00,"1,175",1
11:28:55,"1,170",1
11:28:35,"1,175",1
11:28:20,"1,170",1
11:28:15,"1,175",3
11:28:10,"1,170",1
11:27:35,"1,170",1
11:27:20,"1,175",2
11:26:35,"1,175",2
11:26:20,"1,170",2
11:25:50,"1,175",1
11:25:40,"1,175",10
11:25:35,"1,175",8
11:25:30,"1,170",1
11:25:15,"1,175",10
11:25:05,"1,175",1
11:24:00,"1,175",1
11:23:50,"1,175",2
11:23:30,"1,175",1
11:22:55,"1,170",2
11:22:15,"1,170",5
