日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 99/01/04,39511138.0,2557720928,65.0,65.0,64.0,64.9,0.4,8255.0
 99/01/05,38394084.0,2464115096,65.0,65.1,63.9,64.5,-0.4,9205.0
 99/01/06,52734385.0,3390698544,64.5,64.9,63.7,64.9,0.4,12597.0
 99/01/07,53294614.0,3437221996,64.9,65.0,64.2,64.2,-0.7,11195.0
 99/01/08,48047497.0,3068341466,63.5,64.3,63.5,64.0,-0.2,9804.0
 99/01/11,37446686.0,2413758179,64.0,64.9,63.5,64.5,0.5,8066.0
 99/01/12,52444792.0,3337576396,64.4,64.4,63.3,63.6,-0.9,12865.0
 99/01/13,49806496.0,3129817596,63.0,63.1,62.6,62.8,-0.8,10609.0
 99/01/14,39254264.0,2469193916,63.6,63.6,63.0,63.2,0.4,8755.0
 99/01/15,50011109.0,3155482441,62.9,63.5,62.8,63.5,0.3,11048.0
 99/01/18,30586332.0,1924772947,62.8,63.1,62.8,62.9,-0.6,9875.0
 99/01/19,47541231.0,2970283048,63.0,63.2,62.0,62.5,-0.4,14132.0
 99/01/20,52519052.0,3292097534,62.9,63.2,62.2,63.0,0.5,13043.0
 99/01/21,24842055.0,1552278255,63.0,63.0,62.1,62.6,-0.4,8212.0
 99/01/22,64001109.0,3916952764,61.5,61.7,61.0,61.1,-1.5,18967.0
 99/01/25,62230836.0,3759976086,60.1,60.8,60.1,60.4,-0.7,18763.0
 99/01/26,80078237.0,4839012506,60.6,61.2,60.0,60.1,-0.3,17643.0
 99/01/27,53876237.0,3227674030,60.1,60.4,59.5,59.6,-0.5,13505.0
 99/01/28,44033633.0,2666239239,60.5,61.5,59.8,60.0,0.4,11197.0
 99/01/29,98124608.0,5948654037,60.1,61.5,59.4,61.5,1.5,18337.0
 99/02/01,82234872.0,4934428435,60.7,60.7,59.5,59.8,-1.7,16893.0
 99/02/02,72141345.0,4296416714,60.2,60.4,59.0,59.0,-0.8,15211.0
 99/02/03,42627861.0,2534155240,60.2,60.3,58.8,59.8,0.8,9966.0
 99/02/04,46032165.0,2726713591,60.0,60.0,59.0,59.1,-0.7,11819.0
 99/02/05,66295018.0,3811514312,57.6,57.9,57.2,57.2,-1.9,18203.0
 99/02/06,16391569.0,948580952,57.6,58.1,57.3,58.0,0.8,5867.0
 99/02/08,45835431.0,2635605686,58.0,58.2,57.0,57.4,-0.6,11834.0
 99/02/09,49551665.0,2905054055,58.4,59.2,57.7,58.6,1.2,10807.0
 99/02/10,53809831.0,3156970629,59.0,59.2,58.2,58.4,-0.2,13992.0
 99/02/22,49684787.0,2964348523,60.5,60.5,59.0,59.0,0.6,15040.0
 99/02/23,52030754.0,3098100688,59.6,59.9,59.1,59.8,0.8,11574.0
 99/02/24,60489712.0,3559090588,59.2,59.2,58.4,58.5,-1.3,13513.0
 99/02/25,57502162.0,3357159422,58.5,58.9,57.9,58.2,-0.3,12447.0
 99/02/26,31376014.0,1835097974,58.2,58.9,58.0,58.8,0.6,8183.0
 99/03/01,65860360.0,3910413197,59.5,59.9,58.2,59.6,0.8,14348.0
 99/03/02,54451553.0,3269667531,60.5,60.5,59.5,59.9,0.3,13024.0
 99/03/03,34984387.0,2093549040,59.6,60.1,59.6,60.0,0.1,5904.0
 99/03/04,54471642.0,3220104005,59.8,59.8,58.4,59.2,-0.8,13969.0
 99/03/05,60054500.0,3606334057,59.8,60.4,59.6,60.4,1.2,12880.0
 99/03/08,44396339.0,2704346592,60.9,61.2,60.6,61.2,0.8,11378.0
 99/03/09,31475924.0,1924797115,61.2,61.4,60.8,61.3,0.1,6949.0
 99/03/10,30588530.0,1870897516,61.3,61.4,60.8,61.4,0.1,6050.0
 99/03/11,30381134.0,1864708630,61.6,61.8,61.2,61.4,0.0,6607.0
 99/03/12,69392867.0,4236637111,61.4,61.5,60.6,60.8,-0.6,9260.0
 99/03/15,41567794.0,2503666271,61.3,61.3,59.8,59.8,-1.0,8294.0
 99/03/16,29927456.0,1791764421,60.1,60.2,59.7,59.7,-0.1,7444.0
 99/03/17,69118250.0,4174403125,60.5,60.9,59.9,60.5,0.8,10228.0
 99/03/18,70256871.0,4238210166,60.1,60.6,60.0,60.4,-0.1,10353.0
 99/03/19,46018065.0,2758221800,60.0,60.3,59.7,60.0,-0.4,12648.0
 99/03/22,47084489.0,2782670724,59.6,59.6,58.8,59.0,-1.0,14854.0
 99/03/23,51751303.0,3093844050,59.5,60.1,59.5,59.6,0.6,10645.0
 99/03/24,48661236.0,2940235842,60.1,60.8,60.1,60.6,1.0,10606.0
 99/03/25,64155258.0,3908737600,60.9,61.5,60.2,61.5,0.9,13334.0
 99/03/26,81172895.0,4989163519,61.3,62.0,60.3,62.0,0.5,16419.0
 99/03/29,37559622.0,2333337564,62.0,62.3,61.7,62.2,0.2,9423.0
 99/03/30,30055532.0,1865717231,62.4,62.4,61.7,62.2,0.0,7639.0
 99/03/31,39288879.0,2433883486,62.2,62.2,61.5,61.5,-0.7,6916.0
 99/04/01,54739709.0,3404396540,61.5,62.5,61.5,62.1,0.6,10586.0
 99/04/02,17373507.0,1083207922,62.5,62.5,62.1,62.4,0.3,4724.0
 99/04/06,53216421.0,3367687345,62.8,63.5,62.8,63.4,1.0,14967.0
 99/04/07,49685972.0,3150811649,63.5,63.5,63.1,63.5,0.1,13008.0
 99/04/08,48608322.0,3038128062,62.8,63.0,62.1,62.3,-1.2,10165.0
