日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/01/03,278853.0,2411403,8.71,8.71,8.61,8.71,,171.0
106/01/04,228854.0,1983323,8.71,8.71,8.65,8.67,,89.0
106/01/05,320381.0,2771693,8.71,8.71,8.61,8.68,,192.0
106/01/06,238574.0,2063324,8.69,8.7,8.62,8.65,,128.0
106/01/09,379177.0,3283733,8.65,8.81,8.6,8.75,,169.0
106/01/10,97506.0,850175,8.73,8.73,8.71,8.72,,56.0
106/01/11,182008.0,1589661,8.7,8.78,8.7,8.78,,74.0
106/01/12,719771.0,6374911,8.82,8.94,8.74,8.8,,210.0
106/01/13,267578.0,2371385,8.85,8.89,8.84,8.85,,107.0
106/01/16,301375.0,2673814,8.85,8.92,8.81,8.88,,135.0
106/01/17,313743.0,2791435,8.88,8.91,8.86,8.9,,101.0
106/01/18,362930.0,3235927,8.87,8.97,8.82,8.94,,208.0
106/01/19,173849.0,1551519,8.94,8.95,8.91,8.92,,76.0
106/01/20,319865.0,2867866,8.92,9.0,8.92,9.0,,126.0
106/01/23,2263345.0,21515005,9.07,9.8,9.07,9.72,,924.0
106/01/24,1489073.0,14420925,9.8,9.8,9.58,9.61,,547.0
