日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
102/03/01,8099416.0,312334068,38.35,38.9,38.15,38.85,0.8,2969.0
102/03/04,11140334.0,428403715,38.85,38.85,38.1,38.6,-0.25,3055.0
102/03/05,6487640.0,249466017,38.5,38.7,38.05,38.6,0.0,2550.0
102/03/06,6429125.0,248265335,38.6,38.75,38.4,38.6,0.0,1641.0
102/03/07,4782486.0,183647246,38.4,38.5,38.3,38.3,-0.3,1943.0
102/03/08,4710117.0,183026358,38.3,39.05,38.3,38.95,0.65,1677.0
102/03/11,5671625.0,217725605,38.8,38.85,38.2,38.3,-0.65,2278.0
102/03/12,4543336.0,173418596,38.2,38.4,37.85,38.15,-0.15,1556.0
102/03/13,3309613.0,127259967,38.5,38.65,38.15,38.5,0.35,1522.0
102/03/14,11637149.0,437909794,38.15,38.15,37.3,37.4,-1.1,4214.0
102/03/15,10128955.0,374934918,37.6,37.7,36.65,36.65,-0.75,3487.0
102/03/18,11454314.0,416081082,36.65,36.65,36.05,36.2,-0.45,3241.0
102/03/19,7144924.0,262782082,36.5,37.05,36.25,36.75,0.55,2867.0
102/03/20,9292012.0,339979585,36.75,36.9,36.35,36.5,-0.25,3760.0
102/03/21,9104464.0,333408426,36.5,36.9,36.35,36.5,0.0,2442.0
102/03/22,7471752.0,272721535,36.4,36.6,36.4,36.45,-0.05,2760.0
102/03/25,4245623.0,154836240,36.5,36.65,36.4,36.45,0.0,1455.0
102/03/26,5990336.0,220893118,36.5,37.15,36.45,36.85,0.4,2294.0
102/03/27,6166657.0,227750050,36.65,37.1,36.65,37.1,0.25,1714.0
102/03/28,4673770.0,173197141,37.4,37.4,36.8,36.8,-0.3,2007.0
102/03/29,3556536.0,133050604,37.5,37.55,36.9,37.5,0.7,1458.0
