日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
100/04/01,7319052.0,244551999,33.1,33.55,33.1,33.5,0.45,1831.0
100/04/06,13102682.0,441569673,33.8,34.0,33.45,34.0,0.5,3467.0
100/04/07,7527295.0,254855497,34.0,34.05,33.75,33.9,-0.1,2924.0
100/04/08,12924690.0,445650119,33.9,34.7,33.8,34.65,0.75,4279.0
100/04/11,8846336.0,305170690,34.6,34.8,34.2,34.8,0.15,2147.0
100/04/12,8818095.0,300313480,34.6,34.6,33.8,34.0,-0.8,2460.0
100/04/13,4746035.0,161007059,34.0,34.0,33.8,33.95,-0.05,1501.0
100/04/14,30377755.0,1077318714,34.45,36.05,34.25,35.85,1.9,7785.0
100/04/15,13562505.0,480846575,36.0,36.1,35.1,35.1,-0.75,3792.0
100/04/18,9611465.0,342305209,35.5,36.0,35.0,35.8,0.7,2756.0
100/04/19,8758769.0,308617013,35.6,35.6,35.0,35.5,-0.3,2191.0
100/04/20,23367953.0,853649800,35.6,37.2,35.6,36.75,1.25,6602.0
100/04/21,14722879.0,539357683,37.1,37.2,36.3,36.75,0.0,4302.0
100/04/22,7863093.0,284980492,36.75,36.85,36.0,36.05,-0.7,2856.0
100/04/25,4584197.0,166439832,36.15,36.5,36.1,36.2,0.15,1615.0
100/04/26,4213499.0,152570540,36.1,36.5,35.8,36.2,0.0,1369.0
100/04/27,17846605.0,665024500,36.6,37.6,36.5,37.3,1.1,5854.0
100/04/28,12817845.0,481275395,37.5,37.8,37.3,37.5,0.2,4346.0
100/04/29,16222653.0,613609801,37.9,38.3,37.4,38.3,0.8,4877.0
