日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/01/02,248330.0,3379194,13.65,13.65,13.5,13.6,0.0,107.0
108/01/03,114778.0,1559201,13.6,13.65,13.55,13.6,0.0,66.0
108/01/04,328441.0,4443552,13.55,13.6,13.45,13.6,0.0,123.0
108/01/07,508003.0,6986239,13.65,13.85,13.65,13.85,0.25,178.0
108/01/08,160914.0,2227863,13.85,13.9,13.8,13.85,0.0,104.0
108/01/09,450619.0,6263870,13.85,13.95,13.85,13.95,0.1,198.0
108/01/10,289266.0,4012578,13.85,13.95,13.8,13.9,-0.05,148.0
108/01/11,374321.0,5213941,13.95,14.0,13.85,13.9,0.0,182.0
108/01/14,186454.0,2571923,13.9,13.9,13.7,13.7,-0.2,117.0
108/01/15,736666.0,10075284,13.7,13.75,13.65,13.75,0.05,181.0
108/01/16,224479.0,3072081,13.75,13.75,13.65,13.65,-0.1,130.0
108/01/17,262068.0,3584665,13.65,13.75,13.65,13.75,0.1,89.0
108/01/18,408215.0,5612688,13.7,13.8,13.7,13.75,0.0,105.0
108/01/21,180525.0,2487206,13.8,13.8,13.7,13.75,0.0,88.0
108/01/22,202112.0,2779223,13.8,13.8,13.75,13.75,0.0,79.0
108/01/23,188206.0,2579506,13.75,13.8,13.7,13.7,-0.05,72.0
108/01/24,161257.0,2216766,13.75,13.8,13.7,13.75,0.05,81.0
108/01/25,440584.0,6078495,13.75,13.85,13.75,13.8,0.05,171.0
108/01/28,356223.0,4905558,13.8,13.85,13.7,13.8,0.0,135.0
108/01/29,209564.0,2878168,13.75,13.8,13.7,13.7,-0.1,105.0
108/01/30,300956.0,4140336,13.8,13.8,13.7,13.8,0.1,113.0
