日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 99/03/01,464517.0,7183513,15.3,15.65,15.25,15.6,0.25,186.0
 99/03/02,284402.0,4473435,15.75,15.85,15.65,15.65,0.05,132.0
 99/03/03,442995.0,6983219,15.8,15.85,15.65,15.7,0.05,151.0
 99/03/04,788634.0,12528950,15.95,16.05,15.75,15.8,0.1,267.0
 99/03/05,584133.0,9248018,16.0,16.1,15.7,15.7,-0.1,206.0
 99/03/08,277719.0,4393671,16.0,16.0,15.7,15.8,0.1,102.0
 99/03/09,229313.0,3619848,15.8,15.9,15.7,15.7,-0.1,95.0
 99/03/10,344268.0,5420566,15.75,15.85,15.7,15.85,0.15,130.0
 99/03/11,915428.0,14656057,15.8,16.2,15.8,15.85,0.0,339.0
 99/03/12,317798.0,5033903,16.0,16.0,15.75,15.85,0.0,126.0
 99/03/15,291517.0,4586764,15.9,15.95,15.6,15.65,-0.2,105.0
 99/03/16,204234.0,3201069,15.7,15.75,15.6,15.75,0.1,91.0
 99/03/17,542955.0,8619775,15.75,16.0,15.75,15.9,0.15,193.0
 99/03/18,444215.0,7109063,16.0,16.1,15.9,16.0,0.1,183.0
 99/03/19,345151.0,5535366,16.1,16.15,15.9,16.05,0.05,138.0
 99/03/22,444035.0,7072194,16.05,16.1,15.75,15.85,-0.2,164.0
 99/03/23,336954.0,5349818,15.9,16.0,15.8,15.85,0.0,127.0
 99/03/24,2037221.0,33174870,16.2,16.6,16.05,16.3,0.45,599.0
 99/03/25,491705.0,7985997,16.4,16.5,16.1,16.15,-0.15,209.0
 99/03/26,455964.0,7357674,16.2,16.25,16.05,16.05,-0.1,155.0
 99/03/29,452920.0,7331553,16.05,16.35,16.05,16.2,0.15,176.0
 99/03/30,394298.0,6408539,16.4,16.4,16.15,16.2,0.0,167.0
 99/03/31,683170.0,11104439,16.35,16.35,16.15,16.25,0.05,177.0
