日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
104/02/02,174000.0,2037850,11.65,11.8,11.65,11.8,0.0,56.0
104/02/03,102000.0,1196350,11.8,11.85,11.7,11.8,0.0,32.0
104/02/04,122300.0,1443675,11.8,11.85,11.8,11.8,0.0,36.0
104/02/05,51000.0,600850,11.8,11.8,11.75,11.8,0.0,23.0
104/02/06,127000.0,1506900,11.8,11.9,11.8,11.85,0.05,40.0
104/02/09,116000.0,1384150,11.85,12.0,11.85,11.95,0.1,43.0
104/02/10,154000.0,1855100,11.95,12.15,11.95,12.0,0.05,86.0
104/02/11,73000.0,876050,12.05,12.1,11.95,12.0,0.0,34.0
104/02/12,168255.0,2036712,12.0,12.35,11.9,12.3,0.3,56.0
104/02/13,167499.0,2053287,12.3,12.35,12.15,12.15,-0.15,64.0
104/02/24,578550.0,7227630,12.3,12.65,12.2,12.65,0.5,174.0
104/02/25,441050.0,5555224,12.65,12.75,12.35,12.6,-0.05,180.0
104/02/26,303000.0,3722800,12.2,12.45,12.1,12.3,-0.29999999999999893,113.0
