日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/06/01,973883.0,49015889,50.3,50.8,50.2,50.3,-0.3,722.0
107/06/04,648203.0,32916026,50.7,51.0,50.6,50.8,0.5,421.0
107/06/05,1161189.0,58637521,51.0,51.0,50.3,50.3,-0.5,558.0
107/06/06,517588.0,26210307,50.7,50.8,50.4,50.7,0.4,369.0
107/06/07,2867222.0,147217922,51.1,51.9,51.0,51.2,0.5,1635.0
107/06/08,2120323.0,109696727,51.4,52.0,51.4,51.7,0.5,1240.0
107/06/11,708352.0,36476827,51.9,51.9,51.2,51.3,-0.4,428.0
107/06/12,785067.0,40140617,51.3,51.5,50.9,51.0,-0.3,543.0
107/06/13,1229763.0,62386604,50.9,51.2,50.5,50.5,-0.5,785.0
107/06/14,780278.0,39268866,50.6,50.6,50.2,50.2,-0.3,576.0
107/06/15,4292908.0,211496424,50.2,50.4,48.85,49.0,-1.2,2515.0
107/06/19,800314.0,39406654,49.0,49.45,48.9,49.2,0.2,598.0
107/06/20,1197703.0,58975134,49.2,49.65,48.7,49.45,0.25,830.0
107/06/21,826427.0,41045724,49.7,49.9,49.3,49.4,-0.05,609.0
107/06/22,901514.0,44238586,49.4,49.45,48.95,48.95,-0.45,618.0
107/06/25,550167.0,26943683,48.95,49.25,48.85,48.9,-0.05,405.0
107/06/26,912604.0,44094503,48.9,48.9,48.0,48.4,-0.5,528.0
107/06/27,1407411.0,67475712,48.3,48.55,47.7,47.7,-0.7,934.0
107/06/28,1782738.0,83790949,47.75,47.8,46.55,46.55,-1.15,1177.0
107/06/29,2084107.0,97039612,46.9,47.1,46.2,46.95,0.4,1455.0
