日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
104/05/04,370660.0,41172260,113.5,113.5,110.0,111.0,-2.5,279.0
104/05/05,461066.0,51434326,112.0,112.5,110.0,111.5,0.5,279.0
104/05/06,1050068.0,119659252,112.0,115.0,111.0,115.0,3.5,593.0
104/05/07,600269.0,68142991,115.0,115.0,111.0,112.0,-3.0,410.0
104/05/08,478546.0,54201463,112.5,114.0,111.5,113.5,1.5,350.0
104/05/11,3225020.0,358078620,116.5,118.0,106.0,106.0,-7.5,1578.0
104/05/12,1423840.0,156275152,107.5,113.0,107.0,112.0,6.0,882.0
104/05/13,1325652.0,151408995,113.0,116.5,110.5,114.0,2.0,795.0
104/05/14,672214.0,77094396,115.5,116.0,113.5,114.5,0.5,513.0
104/05/15,1002594.0,116089508,116.0,117.5,115.0,115.0,0.5,640.0
104/05/18,1081721.0,127044136,117.0,119.0,115.5,115.5,0.5,756.0
104/05/19,713812.0,83401570,117.0,118.0,114.5,117.0,1.5,558.0
104/05/20,1674801.0,199595518,118.0,120.5,117.0,118.0,1.0,985.0
104/05/21,352352.0,41495857,118.0,118.5,116.5,118.0,0.0,285.0
104/05/22,647072.0,76815382,119.0,119.5,117.0,117.0,-1.0,428.0
104/05/25,493162.0,57567292,117.0,118.0,116.0,116.0,-1.0,330.0
104/05/26,397707.0,46385012,117.0,117.5,116.0,116.5,0.5,251.0
104/05/27,1877379.0,224748480,116.5,121.0,116.5,121.0,4.5,1199.0
104/05/28,876662.0,106568940,122.0,122.5,120.0,121.0,0.0,666.0
104/05/29,620741.0,74471805,121.0,121.5,119.0,119.0,-2.0,451.0
