日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/12/02,25516807.0,7844458306,307.0,308.0,306.5,307.5,2.5,8465.0
108/12/03,27686319.0,8472595177,305.0,307.0,305.0,307.0,-0.5,9206.0
108/12/04,34911686.0,10652239802,305.0,306.0,304.0,306.0,-1.0,9989.0
108/12/05,39349842.0,12240671524,309.0,312.0,309.0,312.0,6.0,13587.0
108/12/06,18402703.0,5771010050,315.0,316.0,311.0,313.0,1.0,8974.0
108/12/09,23556081.0,7433484496,314.0,316.5,314.0,316.0,3.0,10583.0
108/12/10,20847594.0,6540475540,315.0,315.5,312.5,313.5,-2.5,8702.0
108/12/11,34329148.0,10866410212,314.0,319.0,313.0,319.0,5.5,11689.0
108/12/12,52801851.0,17446169339,325.0,334.5,324.0,331.5,12.5,22555.0
108/12/13,60843939.0,20697194061,340.0,343.0,338.0,339.0,7.5,23025.0
108/12/16,48340188.0,16272523200,336.5,338.5,336.0,336.0,-3.0,16938.0
108/12/17,41428458.0,14153896438,335.0,345.0,335.0,345.0,9.0,16808.0
108/12/18,42486841.0,14594689501,341.5,345.0,341.5,344.5,-0.5,15836.0
108/12/19,55667012.0,18774880620,340.0,342.0,335.0,335.0,-9.5,28105.0
108/12/20,86280459.0,28483237354,332.0,333.0,328.5,329.0,-6.0,28112.0
108/12/23,26911340.0,8923609754,329.5,334.0,329.5,334.0,5.0,12310.0
108/12/24,13783907.0,4591661991,334.0,334.5,332.0,332.0,-2.0,7887.0
108/12/25,12262954.0,4075131136,332.0,334.5,331.0,333.0,1.0,7597.0
108/12/26,11427884.0,3803665702,333.0,334.0,331.5,333.0,0.0,6439.0
108/12/27,16677806.0,5624251712,335.0,338.0,335.0,338.0,5.0,8660.0
108/12/30,21591263.0,7270827164,338.0,339.0,334.0,334.5,-3.5,10468.0
108/12/31,22950517.0,7614538961,331.0,333.5,331.0,331.0,-3.5,12253.0
