日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/11/01,1328157.0,309307552,228.5,237.0,228.5,237.0,8.0,840.0
107/11/02,915031.0,216760347,237.0,238.5,235.0,237.0,0.0,539.0
107/11/05,846384.0,196498856,233.5,233.5,230.5,233.0,-4.0,544.0
107/11/06,1117282.0,261742624,234.0,236.0,232.0,235.0,2.0,676.0
107/11/07,777427.0,181223491,233.0,235.5,231.5,233.5,-1.5,584.0
107/11/08,951784.0,221592274,234.5,235.0,231.5,232.0,-1.5,545.0
107/11/09,900895.0,206920850,231.0,232.0,228.5,229.5,-2.5,636.0
107/11/12,1390836.0,316607608,230.5,232.5,225.0,228.0,-1.5,896.0
107/11/13,1175974.0,266391572,227.5,228.0,224.0,228.0,0.0,970.0
107/11/14,4571076.0,956240384,215.0,215.0,206.5,208.0,-20.0,3178.0
107/11/15,4298865.0,898116171,205.0,215.0,203.0,213.5,5.5,2962.0
107/11/16,1936256.0,420329665,217.0,218.0,215.0,217.5,4.0,1252.0
107/11/19,1649744.0,356342204,217.5,218.0,215.0,215.0,-2.5,1079.0
107/11/20,1380471.0,296852765,216.0,216.0,214.5,215.0,0.0,822.0
107/11/21,2004027.0,433785913,215.0,220.0,214.5,220.0,5.0,1483.0
107/11/22,1742751.0,379068469,215.0,220.5,215.0,220.0,0.0,980.0
107/11/23,814080.0,176470860,220.0,220.0,215.0,216.5,-3.5,638.0
107/11/26,678751.0,149857220,218.0,223.0,218.0,220.0,3.5,567.0
107/11/27,1449350.0,314826619,219.5,219.5,215.0,217.0,-3.0,1107.0
107/11/28,2066379.0,449250064,213.0,220.5,213.0,220.5,3.5,1085.0
107/11/29,1346630.0,294988840,221.5,221.5,218.0,218.0,-2.5,1032.0
107/11/30,2369057.0,518791426,218.5,222.0,218.0,218.0,0.0,1075.0
