日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/05/02,242295192.0,8942966806,35.85,37.6,35.55,37.0,1.45,69429.0
113/05/03,273431268.0,10304565089,37.25,38.45,36.9,37.7,0.7,83811.0
113/05/06,153640820.0,5811395332,38.15,38.5,37.3,37.35,-0.35,51008.0
113/05/07,128135662.0,4741828969,37.15,37.7,36.4,36.85,-0.5,38824.0
113/05/08,128662329.0,4744069234,37.1,37.35,36.4,37.25,0.4,35130.0
113/05/09,145100995.0,5276580329,37.25,37.25,35.8,35.9,-1.35,52109.0
113/05/10,236238695.0,8807024807,36.0,37.8,36.0,37.6,1.7,68747.0
113/05/13,195728029.0,7108511757,36.4,36.8,35.8,36.4,-1.2,66731.0
113/05/14,85967797.0,3135515129,36.4,36.8,36.15,36.4,0.0,25051.0
113/05/15,88483708.0,3203987624,36.7,36.75,35.85,36.0,-0.4,31062.0
113/05/16,134797823.0,4959238103,36.25,37.2,35.9,37.0,1.0,38323.0
113/05/17,145408649.0,5447180446,37.5,37.95,37.05,37.4,0.4,43711.0
113/05/20,238615417.0,8786530960,37.7,37.8,36.1,36.4,-1.0,78748.0
113/05/21,146516000.0,5276790600,36.35,36.9,35.65,35.75,-0.65,45641.0
