日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
102/05/02,905310.0,56727911,63.0,63.4,62.0,62.5,-0.6,604.0
102/05/03,3570124.0,233770776,63.1,66.8,62.8,66.8,4.3,2047.0
102/05/06,3517003.0,242682001,68.8,70.0,67.9,69.4,2.6,2090.0
102/05/07,2614355.0,181159233,69.4,70.4,67.5,69.4,0.0,1452.0
102/05/08,3269780.0,237603320,70.2,73.9,70.2,73.8,4.4,1977.0
102/05/09,3003838.0,225267710,74.0,76.3,72.3,75.8,2.0,1865.0
102/05/10,2123438.0,155374707,75.8,75.9,70.6,72.4,-3.4,1432.0
102/05/13,1900364.0,133794060,70.6,72.0,69.5,69.9,-2.5,1146.0
102/05/14,2230842.0,161087072,70.4,73.2,70.4,72.6,2.7,1580.0
102/05/15,743885.0,53865505,72.6,73.4,71.7,73.0,0.4,574.0
102/05/16,1025847.0,75093536,73.7,74.3,72.6,72.7,-0.3,736.0
102/05/17,666830.0,47851830,73.0,73.0,71.0,71.1,-1.6,470.0
102/05/20,2257698.0,166814602,71.1,75.5,70.0,73.9,2.8,1432.0
102/05/21,1295246.0,96407203,74.0,76.0,73.3,73.6,-0.3,930.0
102/05/22,1170417.0,84417797,74.0,74.4,71.5,71.7,-1.9,753.0
102/05/23,908950.0,65366326,71.0,73.7,70.8,71.4,-0.3,698.0
102/05/24,656889.0,46642473,71.5,72.4,70.0,70.7,-0.7,521.0
102/05/27,358300.0,25618120,72.0,72.0,71.0,71.2,0.5,291.0
102/05/28,862146.0,62665258,71.0,73.5,71.0,72.7,1.5,666.0
102/05/29,1042761.0,76632753,73.0,74.5,72.2,72.7,0.0,731.0
102/05/30,597500.0,43202447,73.4,73.5,71.5,71.7,-1.0,441.0
102/05/31,4000700.0,302626702,74.7,76.7,73.5,76.7,5.0,2193.0
