日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/12/02,2300496.0,220495116,96.0,96.0,95.6,96.0,0.0,1184.0
108/12/03,3365371.0,321281116,95.7,96.0,95.2,95.4,-0.6,1795.0
108/12/04,1910936.0,182107566,95.3,95.6,95.2,95.6,0.2,1493.0
108/12/05,2030574.0,193711062,95.7,95.8,95.2,95.4,-0.2,1457.0
108/12/06,2272924.0,217265904,95.5,95.9,95.3,95.8,0.4,1194.0
108/12/09,1515382.0,144632772,95.5,95.6,95.3,95.4,-0.4,951.0
108/12/10,1582815.0,151114887,95.6,95.7,95.3,95.4,0.0,761.0
108/12/11,2944640.0,280338703,95.3,95.5,94.9,95.5,0.1,1502.0
108/12/12,3031225.0,289715444,95.5,96.2,95.2,95.5,0.0,1659.0
108/12/13,3052194.0,294106724,96.0,97.0,95.9,96.0,0.5,1890.0
108/12/16,3208231.0,311980603,96.5,97.7,96.4,97.2,1.2,2228.0
108/12/17,3559440.0,347339195,97.3,98.0,97.0,98.0,0.8,2427.0
108/12/18,4885034.0,477462154,98.0,98.3,97.0,98.0,0.0,2814.0
108/12/19,1548766.0,150808696,98.0,98.0,97.2,97.3,-0.7,965.0
108/12/20,4789461.0,468700374,97.3,98.5,97.1,97.7,0.4,1890.0
108/12/23,1688473.0,165913984,97.7,98.5,97.6,98.5,0.8,1217.0
108/12/24,2302524.0,227211449,98.9,99.2,98.1,98.2,-0.3,1292.0
108/12/25,1803592.0,176366332,98.1,98.3,97.5,97.5,-0.7,1268.0
108/12/26,2381638.0,231272363,97.7,97.8,96.9,96.9,-0.6,1328.0
108/12/27,2110607.0,207715229,97.6,98.8,97.4,98.6,1.7,1476.0
108/12/30,2314004.0,226390087,98.6,98.7,97.4,97.6,-1.0,1227.0
108/12/31,1723443.0,168423516,97.7,98.1,97.2,97.5,-0.1,1063.0
