日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/05/04,3434904.0,150153720,43.9,43.9,43.5,43.75,-0.85,2008.0
109/05/05,2381134.0,104194862,43.75,43.95,43.5,43.8,0.05,1366.0
109/05/06,2142036.0,93362906,43.85,43.85,43.45,43.55,-0.25,1244.0
109/05/07,1621114.0,70854184,43.5,43.9,43.5,43.9,0.35,938.0
109/05/08,2029125.0,89233521,44.05,44.2,43.85,43.95,0.05,1100.0
109/05/11,2644321.0,117084003,44.25,44.45,44.05,44.3,0.35,1372.0
109/05/12,3021882.0,132781758,44.1,44.2,43.75,43.85,-0.45,1548.0
109/05/13,2159339.0,94988331,43.85,44.2,43.8,44.1,0.25,1415.0
109/05/14,2541639.0,111291829,44.1,44.1,43.65,43.65,-0.45,1388.0
109/05/15,4965123.0,220728390,44.15,44.8,44.05,44.35,0.7,2648.0
109/05/18,3816564.0,170060542,44.55,44.7,44.2,44.65,0.3,1679.0
109/05/19,4846943.0,218519956,44.95,45.25,44.8,45.25,0.6,2414.0
109/05/20,3247232.0,146383440,45.3,45.35,44.85,45.0,-0.25,1732.0
109/05/21,4467526.0,204174763,45.3,46.0,45.15,45.8,0.8,2144.0
109/05/22,4630226.0,209517765,45.7,45.7,45.0,45.0,-0.8,2149.0
109/05/25,2112180.0,95166534,45.0,45.35,44.7,45.3,0.3,1235.0
109/05/26,3133572.0,143001274,45.5,45.8,45.4,45.75,0.45,1804.0
109/05/27,3804004.0,174781134,45.9,46.2,45.65,46.1,0.35,2146.0
109/05/28,4416747.0,203360778,46.25,46.35,45.55,45.75,-0.35,2157.0
109/05/29,5002569.0,228662983,45.7,46.05,45.45,45.7,-0.05,1975.0
